Keyword;Bed 1
depth;"characteristic [n]: profundity; deepness; intensity; wisdom; profoundness; extent"
derange;"cause craziness [v]: unbalance; craze; disturb; madden"
derelict;"negligent [a]: neglectful; delinquent; remiss; careless; lax"
dereliction;"desertion [n]: abandonment; renunciation"
derisive;"scornful [a]: contemptuous; insulting; sarcastic; rude; taunting"
derive;"action [v]: obtain; acquire; procure; receive"
derogate;"disparage [v]: discredit; insult; detract; slander; take away; humiliate"
descant;"comment [v]: remark; criticise; criticize; discourse; discuss"
descend;"decrease [v]: decline; deteriorate; drop; degenerate; slip"
descend on;"approach [v]: gain on; close in; come near"
descent;"slope [n]: declination; slide; dip; decline; drop; declivity; fall"
description;"report [n]: narration; portrait; story; recital; version; portrayal"
desert;"nature [n]: wasteland; solitude; waste; sand; wilderness"
desertion;"abandonment [n]: escape; flight; evasion; disaffection; disavowal; renunciation"
desiccate;"preserve [v]: dehydrate; evaporate"
desideratum;"purpose [n]: objective; aim; requirement; goal"
design;"thing [n]: outline; ornament; painting; blueprint; pattern; depiction; draft; stamp"
designate;allocate [v]: earmark
designation;"name [n]: appellation; classification; label; class; identification"
designedly;"on purpose [o]: intentionally; purposely; deliberately"
designing;"alert [a]: wide awake; diligent"
desirable;"advantageous [a]: beneficial; useful; acceptable; welcome; helpful; expedient; profitable"
desire;"hunger [n]: hope; appetite; motive; longing; craving; urge; will"
desiring;"enthusiastic [a]: impassioned; yearning; longing; needing"
desk;"thing [n]: lectern; pulpit"
desolate;"destroyed [a]: barren; devastated; ravaged; scorched"
desolation;"gloom [n]: despair; grief; misery; wretchedness"
desperado;"outlaw [n]: bandit; criminal; miscreant; ruffian"
desperate;"grave [a]: dangerous; hopeless; serious"
desperation;"recklessness [n]: carelessness; trouble; frenzy"
despoilment;"plunder [n]: ravaging; piracy; depredation; theft"
despot;"autocrat [n]: dictator; tyrant; oppressor; totalitarian"
destine;"intend [v]: design; propose; reserve; dedicate"
destined;"fated [a]: near; predetermined; predestined; forthcoming; impending; foreordained"
destiny;"inevitability [n]: predetermination; conclusion; decree; certainty; luck"
destroy;"end [v]: exterminate; annihilate; butcher; murder; slaughter; overthrow; eradicate"
destruction;"death [n]: fate; annihilation; havoc; massacre; ravage; murder; sack"
destructive;"ruinous [a]: evil; baleful; cancerous; noisome; deadly; shattering"
desultory;"disconnected [a]: aimless; erratic; random; variable; miscellaneous"
detached;"apathetic [a]: aloof; indifferent; unconcerned; distant; uninvolved"
detachment;"indifference [n]: apathy; aloofness; unconcern; coldness"
detail;"armed forces [n]: detachment; squad; force; team; unit; organisation; organization"
detain;"confine [v]: constrain; arrest; intern; restrain"
determination;"visualization [n]: visualisation; perception; measurement; judgment"
determine;"ascertain [v]: judge; learn; ordain; certify; prove; check; see"
determined;"stubborn [a]: firm; obstinate; dogged"
detour;"direction [n]: deviation; divergence; branch; by-pass; by-way"
differ;"conflict [v]: disagree; dispute; fight; contradict; object; oppose; dissent; digress"
difference;"distinction [n]: dash; discrimination; idiosyncrasy; tone"
different;"miscellaneous [a]: odd; divers; disparate; manifold; dissimilar; distant; various"
differentiate;"contrast [v]: discriminate; distinguish; separate; set off"
difficult;"complex [a]: involved; intricate; abstract; obscure; abstruse; perplexing; puzzling"
dissonant;"inharmonious [a]: cacophonous; discordant; strident; unmelodious"
distance;"length [n]: reach; stretch; span; range; compass"
distant;"separated [a]: at a distance; apart; scattered; sparse; further; diffuse"
distasteful;"loathsome [a]: sour; objectionable; disgusting; nauseating; sickening; unpalatable; unsavoury"
distinct;"single [a]: only; particular; different; discrete; dissimilar; diverse"
delicacy;"culture [n]: modesty; tact"
delicate;"subtle [a]: mellow; fine; flimsy; slight"
delicious;"tasty [a]: dainty; delicate; good; luscious; appetizing; palatable; choice"
delight;"satisfy [v]: enliven; gratify; charm; amuse; entrance; enchant; fascinate"
delighted;"expression of pleasure [a]: certainly; of course; splendid; thank you; excellent; by all means; charmed"
delightful;"cheery [a]: pleasing; charming; refreshing; lovely"
delineation;"description [n]: representation; rendition; depiction; account; portrayal; picture"
delinquent;"unpaid and overdue [a]: unpaid; overdue; owed; due; in arrears; owing"
delirious;drunk [a]: intoxicated
deliver;"issue [v]: cast; bring forth; deal; direct; discharge; emit; give forth"
delivery;"bringing merchandise [n]: consignment; shipment; conveyance"
deluge;"flood [v]: inundate; drown; engulf"
delusion;"mistake [n]: misconception; blunder; lapse; oversight"
demand;"speech [n]: request; appeal; bid; plea; inquiry; search; entreaty"
demanding;"querulous [a]: exacting; critical; fussy; hard to please; imperious"
demarcation;"division [n]: distinction; separation; differentiation; split"
dementia;"insanity [n]: madness; craziness; senility; mania"
demerit;"low mark [n]: fault; punishment"
democratic;"constitutional [a]: popular; orderly; just; representative; free"
demon;"rascal [n]: villain; fiend; rogue; brute; beast"
disobedience;"insubordination [n]: defiance; disregard; insurgence"
disoblige;"inconvenience [v]: annoy; disturb; upset; discommode"
disorder;"disturbance [n]: hubbub; brawl; battle; stir; bustle; discord; anarchism"
disorderly;"boisterous [a]: rowdy; unruly; drunk; undisciplined; intemperate; riotous; unrestrained"
disorganise;"break up [v]: break down; disperse; scatter; disorder; jumble; upset"
disorganize;"break up [v]: break down; disperse; scatter; disorder; jumble; upset"
disparagement;"censure [n]: blame; slander; abuse; ridicule; aspersion"
dispassionate;"calm [a]: composed; detached; serene; imperturbable; unemotional; impassive; restrained"
dispatch;"news bulletin [n]: bulletin; item; article; publication; press release"
dispensable;"condonable [a]: pardonable; venial"
dispensation;"management [n]: administration; regulation; supervision; direction"
dispense;"direct [v]: administer; undertake; enforce"
disperse;"distribute [v]: broadcast; sprinkle; diffuse; disseminate; scatter; sow; spread"
displace;"replace [v]: supersede; cashier; dislodge; supplant; depose; transpose; unseat"
display;"ostentation [n]: exposure; flaunting; flash; flourish; pomp; splendour"
displeased;"unhappy [a]: angry; vexed; irritated; annoyed; disappointed"
disposal;"disposition [n]: action; provision; conclusion; determination"
dispose of;"discard [v]: throw away; relinquish; get rid of; eliminate; sell"
disposition;"predilection [n]: habit; leaning; bent; liking; bias; mind; inclination"
disproportion;"disparity [n]: difference; insufficiency; inadequacy"
disputatious;"contentious [a]: argumentative; quarrelsome; captious; controversial"
dispute;"debate [v]: moot; agitate; oppugn; argue; discuss"
disqualification;"incompetence [n]: ineptitude; unfitness; inability; incapacity"
disqualify;"invalidate [v]: preclude; bar"
disquieting;"disturbing [a]: distressing; troubling; alarming"
disregard;"disrespect [n]: disdain; scorn; indifference; slight"
disruption;"severance [n]: separation; interference; division"
dissect;"examine [v]: scrutinise; scrutinize; study; analyse; inspect; investigate"
dissection;"anatomization [n]: anatomisation; dismemberment; vivisection; operation"
dream up;"create [v]: devise; concoct; contrive; imagine; visualise; visualize; hatch"
dreamy;"unreal [a]: impractical; intangible; mythical"
dreary;"sorrowful [a]: cheerless; boring; wintry; dull; monotonous; tedious; tiresome"
dregs;"riffraff [n]: scum; trash; rabble; waste; refuse"
dress;"thing [n]: frock; robe; costume; skirt; gown; shift"
dutiful;responsible [a]: conscientious
duty;"profession [n]: work; part; business; place; function; task; office; responsibility"
discouragement;"deterrent [n]: hindrance; damper; constraint; impediment; obstacle; obstruction"
discourse;"talk [n]: dialogue; chat"
discover;"invent [v]: position; locate; bring to light; contrive; hit upon; originate"
discovery;"findings [n]: results; formula; find; invention; breakthrough"
discriminate;"distinguish [v]: know; sift; differentiate; separate; notice; set apart"
direction;"management [n]: supervision; administration; regulation; control; command; superintendence"
directly;"straight [o]: dead; direct; due; right"
director;"moving-picture director [n]: producer; leader"
dirt;"publishing [n]: smut; filth; scum; pornography"
dirty;"characteristic [a]: soiled; soiling; defiled; unsanitary; black; filthy; polluted; foul; contaminated"
disability;"incapacity [n]: disqualification; feebleness; impotence; unfitness; inability; incapability; incompetence"
disable;"eliminate [v]: disqualify; incapacitate"
disabuse;"clarify [v]: purge; inform"
disadvantage;"damage [n]: mischief; detriment; disservice; hurt; injury; loss; deprivation"
disaffect;"estrange [v]: antagonise; antagonize; alienate; offend; repel"
disaffected;"antagonistic [a]: estranged; disloyal; unfriendly; discontented; indifferent; disillusioned"
disagree;"be hard on one's stomach [v]: nauseate; hurt; injure"
disagreeable;"irritating [a]: bothersome; distasteful; irksome; offensive; repulsive; unpleasant; disturbing"
disagreement;"discrepancy [n]: inconsistency; difference; dissimilarity; disparity"
disappointing;"unsatisfactory [a]: ineffective; insufficient; unexpected; uninteresting; inferior; discouraging"
disappointment;"set-back [n]: chagrin; displeasure; frustration; distress; mortification"
disapproval;"objection [n]: disagreement; criticism; denunciation; protest"
distinction;"excellence [n]: credit; account; glory; celebrity; lustre; eminence; prestige"
distinctly;"clearly [o]: precisely; plainly; surely"
distinctness;"clarity [n]: clearness; lucidity; sharpness; explicitness"
distinguish;"classify [v]: stamp; categorise; categorize; specify; identify; differentiate; collate; discriminate"
distinguished;"famous [a]: glorious; celebrated; venerable; great; eminent; well-known; high"
distort;"crush [v]: warp; deform; twist; wrench; bend"
distortion;"lie [n]: misinterpretation; perversion; deception; misuse; fabrication; misconception"
disputable;"debatable [a]: controversial; open; questionable; undecided; uncertain; undetermined; unsettled"
disputation;"argument [n]: contest; contention; match; controversy; discussion; debate; dispute"
dormitory;"college building [n]: hall; auditorium; meeting house; bedroom"
dosage;"dose [n]: measure; portion; measurement; treatment; shot; draught; application"
dot;"speck [n]: point; mote"
doubting;faithless [a]: unbelieving
doubtless;"presumably [o]: probably; likely; possibly"
dough;"batter [n]: mix; paste; preparation"
doughty;"bold [a]: defiant; adventurous; hardy; audacious; stalwart; brave; daring"
dovecote;birdhouse [n]: aviary
dowel;"pin [n]: peg; plug; nail; spike; rivet; tack"
dower;"bridal gift [n]: dot; dowry"
downcast;"depressed [a]: crest-fallen; crushed; dejected; despondent; disconsolate; heavy; downhearted"
downhearted;"sad [a]: depressed; despondent; dispirited; disconsolate; melancholy; glum; plaintive"
downpour;"flood [n]: drencher; cataclysm; catastrophe; deluge; inundation; overflow"
downy;"smooth [a]: delicate; fine; velvety; fluffy; feathery; soft; pulpy"
do wrong;"behave poorly [v]: disobey; defy; rebel; misbehave"
dragging;"boring [a]: tedious; long-winded; verbose; wordy; prolix; long"
draining;"removal [n]: evacuation; depletion; exhaustion"
drake;bird [n]: male duck
dramatisation;"theatrical representation [n]: acting; playing; personification; enactment; dramatization; portrayal; impersonation"
dramatization;"theatrical representation [n]: acting; playing; personification; dramatisation; enactment; portrayal; impersonation"
drapery;"curtain [n]: blind; decoration; drape; hanging; portiere; shade"
drastic;"extreme [a]: bold; excessive; acute; foolhardy; great; heroic; desperate"
draw away;"separate [v]: distil; withdraw; abstract; fractionate; remove; take away"
drawback;"trick [n]: rub; hitch; deception; hooker; catch; trap; puzzle; disadvantage"
draw back;"recede [v]: retreat; give; retire; yield; cede; give over; give up"
drawer;"thing [n]: till; compartment; bin; receptacle; tray"
draw out;"extend [v]: attenuate; draw; lengthen; pull out; stretch"
draw up;"arrange [v]: dispose; array; marshal; order; place; range; rank"
dreadful;"grim [a]: dire; appalling; frightful; ghastly; grisly; gruesome; hideous"
dreaming;"imagining [n]: conception; musing; meditation"
drench;"soak [v]: saturate; flood; douse; wet; immerse; drown; sop"
drenched;"very wet [a]: wet; soppy; sopping; soaked; dripping; drizzling"
dressy;"stylish [a]: fashionable; chic; sharp"
dribble;"seepage [n]: leakage; loss; flow; drip; escape; leak; trickle"
distress;"misfortune [n]: strait; deprivation; destitution; indigence; necessity; need; poverty"
distribute;"scatter [v]: publish; disperse; sow; sprinkle; seed; spread"
distribution;"occurrence [n]: arrangement; frequency; order; pattern; saturation; relationship; configuration"
district;"area [n]: neighbourhood; community; precinct; quarter; sector; vicinity"
distrust;"doubt [v]: disbelieve; mistrust; suspect"
disturb;"alarm [v]: trouble; molest; agitate; perplex; perturb; rattle; shake"
disturbance;"uproar [n]: racket; disorder; tempest; ruffle; riot; clamour; shake"
disturbed;"upset [a]: confused; disordered; agitated; distressed; disorganised; disorganized"
disunion;"disconnection [n]: separation; division; detachment; divorce; partition"
disunite;"alienate [v]: estrange; separate; embroil; entangle; rend asunder"
disuse;"neglect [n]: decay; abandonment; unemployment"
ditch;"trench [n]: channel; canal; moat; gutter; furrow"
ditto;"an identical item [n]: the same; likewise; alike; agreement"
demoniac;"frenzied [a]: wild; furious; mad; insane; violent; aroused"
demonstrate;"explain [v]: describe; display; express; make clear; illustrate; establish"
demonstration;"presentation of evidence [n]: illustration; explanation; proof; induction; documentation"
demonstrative;"decisive [a]: specific; convincing"
demoralise;"unnerve [v]: weaken; break; discourage; daunt; enfeeble; dishearten; unman"
disdain;"scorn [v]: snub; disregard; condemn; ignore; slight; despise; reject"
disembodied;"bodiless [a]: incorporeal; immaterial"
disgorge;"eject [v]: throw up; spew; regurgitate; vomit; erupt; spit out"
disgrace;"odium [n]: dishonour; degradation; shame; obloquy; opprobrium; scandal"
disgruntled;"discontented [a]: disappointed; annoyed; displeased; irritated; disturbed; irritable"
disguise;"camouflage [v]: masquerade; conceal; cloak; falsify; pretend; dissemble; doctor"
disgust;"dislike [n]: antipathy; aversion; detestation; dissatisfaction; repugnance"
disgusted;"overwrought [a]: fed up; appalled; offended; revolted; sickened; shocked"
dishonour;"disgrace [n]: ignominy; shame; abasement; desecration; disrepute"
deterioration;"wear [n]: dilapidation; erosion; wearing away; rubbing off"
dine;"eat [v]: feast; stuff; cram; gorge; feed; graze"
ding-dong;"tinkle [n]: ting; jingle; ring; click; clink"
dinghy;"boat [n]: tender; skiff; motorboat; lifeboat"
dingy;"dirty [a]: clouded; dark; dull; sullied"
diocese;"see [n]: parish; bishopric"
dipper;"ladle [n]: spoon; shovel; trowel; spade; scoop"
dire;"dreadful [a]: grim; appalling; frightful; ghastly; grisly; gruesome; hideous"
directive;"pointer [n]: indicator; needle; arrow; gauge; sign"
directory;"catalogue [n]: inventory; gazette; bulletin; brief; register; schedule"
dirge;"lament [n]: elegy; monody"
disabled;"incapacitated [a]: exhausted; broken down; stifled; mutilated; lame; destroyed; mangled"
disadvantageous;"untimely [a]: awkward; inopportune; inconvenient; difficult; annoying; troublesome; bothersome"
disaffection;"alienation [n]: division; rupture; difference; breach; disagreement; dispute; dissension"
disinter;"exhume [v]: dig up; excavate; unearth; expose; desecrate"
disjointed;"incoherent [a]: rambling; muddled; disordered; irregular; disconnected; chaotic"
dislike;"aversion [n]: dissatisfaction; antagonism; disfavour; antipathy; disinclination; disgust; disrelish"
devices;"inclination [n]: bent; desire; will"
devil;"person [n]: villain; renegade; dastard"
devious;"circuitous [a]: roundabout; winding; tortuous; oblique"
devise;"leave [v]: bequeath; bequest"
devoted;"loving [a]: affectionate; attentive; fond; attached"
devotion;dedication [n]: consecration
devout;"serious [a]: dedicated; earnest; devoted; hearty; honest; sincere"
diagonal;"crosswise [a]: transverse; cross"
dial;"activity [v]: rotate; turn; twist; wheel; gyrate"
dialect;"accent [n]: slang; idiom; vernacular; argot; jargon; cant; localism"
dialectal;"colloquial language [a]: colloquial; local; vernacular"
dialectic;"thought [n]: argumentation; persuasion; deduction"
diamond;"glass cutter [n]: cutting tool; cutter"
diarrhea;"dysentery [n]: flux; scour"
diary;"thing [n]: journal; chronicle; record; memoirs"
dictate;"compose [v]: speak; deliver; interview; formulate; record"
dictator;"despot [n]: autocrat; tyrant; oppressor; mogul"
dictatorial;"autocratic [a]: despotic; tyrannical; authoritarian; arbitrary; absolute"
dictum;"proverb [n]: adage; precept; motto; maxim; slogan"
die;"thing [n]: stamp; cube; block"
diet;"limiting intake of food [n]: regimen; fast; nourishment"
digitize;"read with a scanner [v]: feed in; input; append; record; digitise; scan; enter; perform data entry"
dignified;"solemn [a]: formal; ceremonial; ceremonious; ritual; serious; sedate; staid"
dignify;"elevate [v]: exalt; erect; support; ennoble; foster; promote; raise"
dignitary;"notable [n]: star; luminary; personage; celebrity; notability"
dig out;"make deeper [v]: dig; hollow; deepen; lower"
digress;"deviate [v]: wander; stray; err; shift; veer; swerve"
digression;"monologue [n]: aside; departure; diversion; whisper; side show"
dig up;"exhume [v]: disinter; excavate; unearth; expose; desecrate"
dike;"embankment [n]: dam; barrier; wall; gate"
dilapidated;"deteriorated [a]: run-down; neglected; decayed; unkempt"
dilapidation;"deterioration [n]: wear; erosion; wearing away; rubbing off"
dilate;"enlarge [v]: diffuse; continue; extend; reach; expand; fill out"
dilation;"expansion [n]: enlargement; increase; extension"
deadliness;"fatality [n]: virulence; lethality; inevitability; mortality"
despondent;"sad [a]: depressed; melancholy; dispirited; disconsolate; downhearted; glum; plaintive"
despotic;"tyrannical [a]: cruel; oppressive; severe; brutal; repressive; odious"
despotism;"persecution [n]: cruelty; hardness; oppression; domination; injustice; coercion; dictatorship"
destination;"aim [n]: mission; purpose; butt; objective; end; object; target"
destitute;"miserable [a]: poor; penniless"
destitution;"want [n]: poverty; indigence; penury; privation"
destroyed;"ruined [a]: crushed; ravaged; decrepit; smashed; beyond repair"
detach;"split [v]: divide; separate; sever; disjoin; disconnect; undo; disengage"
detailed;"elaborate [a]: elegant; minute; fancy; luxurious; ornate; embellished"
details;"insides [n]: constituents; filling; matter; contents; sum"
detect;"discover [v]: scent; sniff; spot; track; find"
detection;"discovery [n]: showing; espial; unfolding; find; disclosure; strike; unearthing"
detective;"operative [n]: agent; investigator"
detention;"arrest [n]: apprehension; confinement; capture; constraint; imprisonment; seizure"
detergent;"antiseptic [n]: disinfectant; sterilizing; antitoxin; preventative; medicine"
deteriorate;"wear [v]: worsen; abrade; age; cut down; fatigue; impair"
dual;"twin [a]: double; second; twofold; duplicate"
duct;"passageway for liquid [n]: conduit; canal; pipe; sewer; strait; tube; gutter"
ductile;"pliable [a]: flexible; supple; impressionable; elastic; pliant; plastic; mobile"
dud;"flop [n]: turkey; loser; clinker; bust; failure; washout; bomb"
dulcet;"melodious [a]: musical; tuneful; rhythmical; harmonious; melodic; symphonic; sonorous"
dumbfound;"astound [v]: amaze; astonish; stagger; confound; shock; surprise"
dumpling;"blimp [n]: tub; fatty; roly-poly"
dumpy;"chubby [a]: pudgy; chunky; stout; thick-set; stocky; squat; fat"
dungeon;"prison [n]: cell; hold; deep; keep; tower"
dunk;"besprinkle [v]: anoint; sprinkle; submerge; immerse; purify; baptise; asperse"
duplicity;"deceit [n]: artifice; deception; artfulness; craftiness; cunning; wile; double-dealing"
durability;"resistance [n]: invulnerability; immunity; hardness; endurance; impenetrability; immovability"
durable;"tough [a]: sturdy; hardy"
duration;"length [n]: period; interval; term; time; continuance; season"
during;"duration [o]: while; whilst"
dusk;"unlit [a]: dirty; black; Cimmerian; dun; dim; dark"
dusty;"characteristic [a]: moth-eaten; musty; fusty; crumbling; antediluvian; withered; dry"
dwelling;"place [n]: abode; domicile; home; house; residence"
dwell on;"sulk [v]: muse; brood; grieve; fret; ponder; ruminate over; pout"
dwindle;"decay [v]: die; decline; degenerate; fade; deteriorate; fall"
dynamic;"active [a]: energetic; vital; vivid; live; vigourous"
